# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
别的,別的,bié de,"else
other",妈妈对小飞说：“我们分手是因为你和别的女孩儿住在一起了。”,媽媽對小飛說：“我們分手是因為你和別的女孩兒住在一起了。”,mā ma duì xiǎo fēi shuō ：“ wǒ men fēn shǒu shì yīn wèi nǐ hé bié de nǚ hái'r zhù zài yì qǐ le 。”,"Mom said to Little Fei, “We broke up because you were living together with another girl.”"
女孩儿,女孩兒,nǚ hái'r,girl,妈妈对小飞说：“我们分手是因为你和别的女孩儿住在一起了。”,媽媽對小飛說：“我們分手是因為你和別的女孩兒住在一起了。”,mā ma duì xiǎo fēi shuō ：“ wǒ men fēn shǒu shì yīn wèi nǐ hé bié de nǚ hái'r zhù zài yì qǐ le 。”,"Mom said to Little Fei, “We broke up because you were living together with another girl.”"
告诉,告訴,gào su,"to tell
to inform",小飞说：“你妈妈告诉我的。”,小飛說：“你媽媽告訴我的。”,xiǎo fēi shuō ：“ nǐ mā ma gào su wǒ de 。”,"Little Fei said, “Your mom told me.”"
在,在,zài,"(located) at
(to be) in; on",妈妈问：“你怎么知道我住在这儿？”,媽媽問：“你怎麼知道我住在這兒？”,mā ma wèn ：“ nǐ zěn me zhī dào wǒ zhù zài zhè‘r ？”,"Mom asked, “How do you know that I live here?”"
住,住,zhù,"to live
to stay",妈妈问：“你怎么知道我住在这儿？”,媽媽問：“你怎麼知道我住在這兒？”,mā ma wèn ：“ nǐ zěn me zhī dào wǒ zhù zài zhè‘r ？”,"Mom asked, “How do you know that I live here?”"
来,來,lái,"to come
to arrive",妈妈问小飞：“你为什么来日本？”,媽媽問小飛：“你為什麼來日本？”,mā ma wèn xiǎo fēi ：“ nǐ wèi shén me lái rì běn ？”,"Mom asked Little Fei, “Why did you come to Japan?”"
问,問,wèn,to ask,妈妈问小飞：“你为什么来日本？”,媽媽問小飛：“你為什麼來日本？”,mā ma wèn xiǎo fēi ：“ nǐ wèi shén me lái rì běn ？”,"Mom asked Little Fei, “Why did you come to Japan?”"
进来,進來,jìn lái,to come in,小飞没有进来，他问妈妈：“我来日本，你不高兴吗？”,小飛沒有進來，他問媽媽：“我來日本，你不高興嗎？”,xiǎo fēi méi yǒu jìn lái ， tā wèn mā ma ：“ wǒ lái rì běn ， nǐ bù gāo xìng ma ？”,"Little Fei didn’t come in. He asked Mom, “I came to Japan, aren’t you happy?”"
这儿,這兒,zhè‘r,here,“不能。”妈妈说，“你有事吗？你在这儿说吧！”,“不能。”媽媽說，“你有事嗎？你在這兒說吧！”,“ bù néng 。” mā ma shuō ，“ nǐ yǒu shì ma ？ nǐ zài zhè‘r shuō ba ！”,"“No,” Mom said, “What do you want? Say it here!”"
有事,有事,yǒu shì,"to be occupied with sth
to have sth on one's mind
there is something the matter",“不能。”妈妈说，“你有事吗？你在这儿说吧！”,“不能。”媽媽說，“你有事嗎？你在這兒說吧！”,“ bù néng 。” mā ma shuō ，“ nǐ yǒu shì ma ？ nǐ zài zhè‘r shuō ba ！”,"“No,” Mom said, “What do you want? Say it here!”"
进去,進去,jìn qù,(after a verb) to go in,小飞在妈妈家门外，他问妈妈：“我能进去吗？”,小飛在媽媽家門外，他問媽媽：“我能進去嗎？”,xiǎo fēi zài mā ma jiā mén wài ， tā wèn mā ma ：“ wǒ néng jìn qù ma ？”,"Little Fei was outside the door to Mom’s home. He asked Mom, “Can I come in?”"
男友,男友,nán yǒu,boyfriend,我妈妈不高兴，还因为小飞。小飞是妈妈的前男友。,我媽媽不高興，還因為小飛。小飛是媽媽的前男友。,wǒ mā ma bù gāo xìng ， hái yīn wèi xiǎo fēi 。 xiǎo fēi shì mā ma de qián nán yǒu 。,"My mom is unhappy, also because of Little Fei. Little Fei is mom’s ex-boyfriend."
开,開,kāi,to open,她开门，看见有人在门外。,她開門，看見有人在門外。,tā kāi mén ， kàn jiàn yǒu rén zài mén wài 。,She opened the door and saw there was a person outside the door.
旁边,旁邊,páng biān,"side
beside",我没有说话。我坐在妈妈旁边，看着妈妈。,我沒有說話。我坐在媽媽旁邊，看著媽媽。,wǒ méi yǒu shuō huà 。 wǒ zuò zài mā ma páng biān ， kàn zhe mā ma 。,I didn’t say anything. I sat beside Mom and looked at her.
